201609|OVGgaYj/ibE=|23/09/2016 23:18:41|||80.59|1|33|F|0201002|CALLAO|CALLAO|BELLAVISTA|1|CALLAO|95|00000000|*** EXCESO LINEA    ***|||||||
201610|OVGgaYj/ibE=|04/10/2016 20:43:59||PER|5.72|1|33|F|0201002|CALLAO|CALLAO|BELLAVISTA|1|CALLAO|95|00000000|PAGO TARJETA DE CRED|||||||
201610|OVGgaYj/ibE=|19/10/2016 23:09:32|||28.38|1|33|F|0201002|CALLAO|CALLAO|BELLAVISTA|1|CALLAO|95|00000000|*** EXCESO LINEA    ***|||||||
201606|OVGgaYj/ibE=|02/06/2016 23:43:11|||3.72|1|33|F|0201002|CALLAO|CALLAO|BELLAVISTA|1|CALLAO|95|00000000|*** EXCESO LINEA    ***|||||||
201703|OVGgaYj/ibE=|20/03/2017 23:21:22|||190|1|33|F|0201002|CALLAO|CALLAO|BELLAVISTA|1|CALLAO|95|00000000|MEMBR.ANUAL ABR 2016/MAR 2017|||||||
201606|OVGgaYj/ibE=|21/06/2016 0:19:41|||89.19|1|33|F|0201002|CALLAO|CALLAO|BELLAVISTA|1|CALLAO|95|00000000|*** EXCESO LINEA    ***|||||||
201607|OVGgaYj/ibE=|12/07/2016 1:34:43|||3.36|1|33|F|0201002|CALLAO|CALLAO|BELLAVISTA|1|CALLAO|95|00000000|*** EXCESO LINEA    ***|||||||
201701|OVGgaYj/ibE=|10/01/2017|||1.5|1|33|F|0201002|CALLAO|CALLAO|BELLAVISTA|1|CALLAO|95|00000000|* ENVIO DE EE.CC. I|||||||
201609|OVGgaYj/ibE=|16/09/2016 23:11:34|||42.77|1|33|F|0201002|CALLAO|CALLAO|BELLAVISTA|1|CALLAO|95|00000000|*** EXCESO LINEA    ***|||||||
201702|OVGgaYj/ibE=|10/02/2017|||5.5|1|33|F|0201002|CALLAO|CALLAO|BELLAVISTA|1|CALLAO|95|00000000|* SEGURO DE DESGRAVAMEN|||||||
201703|OVGgaYj/ibE=|10/03/2017|||5.5|1|33|F|0201002|CALLAO|CALLAO|BELLAVISTA|1|CALLAO|95|00000000|* SEGURO DE DESGRAVAMEN|||||||
201705|OVGgaYj/ibE=|09/05/2017 23:35:12|||9.8|1|33|F|0201002|CALLAO|CALLAO|BELLAVISTA|1|CALLAO|95|00000000|*** EXCESO LINEA    ***|||||||
